Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
53,35,1,0,0,1,0,0,1,4,3,2,2,5,6,2,0,3,1,1,1,1,0,1,0,0,11
54,22,0,0,0,0,1,0,0,2,0,0,0,3,5,3,0,5,2,0,0,1,0,0,0,0,11
55,21,1,0,0,0,0,1,1,2,3,0,0,1,3,3,1,0,0,0,1,1,1,2,0,0,11
56,10,0,0,0,0,0,1,1,0,0,1,0,2,2,1,0,0,0,1,0,1,0,0,0,0,11
57,12,1,0,0,0,1,2,0,0,0,0,1,2,3,1,0,0,1,0,0,0,0,0,0,0,11
58,8,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,11
59,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11
Ignorado,185,33,4,0,6,5,0,3,5,14,4,2,14,5,1,3,13,10,6,0,3,0,0,1,53,11
Todas las edades,388613,64478,4042,6988,15868,16454,9601,9871,12195,21031,14147,8207,30389,38477,29590,7951,34986,15353,10122,6129,11488,9284,11789,139,34,12
10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,12
11,31,1,0,0,0,1,1,0,0,0,0,0,5,1,1,0,5,5,1,1,2,3,4,0,0,12
12,110,8,1,0,1,3,1,1,1,5,2,2,10,8,17,1,13,15,4,3,6,5,3,0,0,12
13,490,37,12,4,7,30,10,9,4,20,25,3,39,51,36,6,41,54,19,16,23,11,33,0,0,12
14,2378,194,23,25,37,122,80,30,50,123,86,56,195,214,155,46,272,230,130,56,101,69,84,0,0,12
15,6821,641,62,76,155,390,215,153,169,397,239,161,531,755,532,152,680,509,255,130,205,179,235,0,0,12
16,13125,1402,153,167,384,721,389,236,328,767,531,308,1034,1483,1025,287,1308,716,431,220,406,393,433,3,0,12
17,18832,2099,178,317,590,955,508,413,496,1176,738,417,1629,2052,1479,403,1854,906,579,336,574,526,604,3,0,12
