Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Diciembre,Totonicapán,1060,551,509,10
Diciembre,Quetzaltenango,1617,841,776,10
Diciembre,Suchitepéquez,1093,533,560,10
Diciembre,Retalhuleu,619,323,296,10
Diciembre,San Marcos,2622,1260,1362,10
Diciembre,Huehuetenango,3338,1696,1642,10
Diciembre,Quiché,2404,1218,1186,10
Diciembre,Baja Verapaz,689,340,349,10
Diciembre,Alta Verapaz,3118,1514,1604,10
Diciembre,Petén,1324,657,667,10
Diciembre,Izabal,922,476,446,10
Diciembre,Zacapa,501,240,261,10
Diciembre,Chiquimula,962,483,479,10
Diciembre,Jalapa,769,396,373,10
Diciembre,Jutiapa,1071,574,497,10
Diciembre,Extranjero,7,6,1,10
Diciembre,Ignorado,21,9,12,10
Todos los meses,Todos los departamentos,373692,189724,183968,11
Todos los meses,Guatemala,61951,31520,30431,11
Todos los meses,El Progreso,4092,2118,1974,11
Todos los meses,Sacatepéquez,6845,3454,3391,11
