Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
60 a 64,450,383,67,257,219,38,178,150,28,15,14,1,A,15,
65 a 69,232,190,42,111,88,23,111,93,18,10,9,1,A,15,
70 a 74,105,87,18,53,43,10,46,39,7,6,5,1,A,15,
75 a 79,67,62,5,41,37,4,23,23,0,3,2,1,A,15,
80 y más,32,25,7,18,16,2,14,9,5,0,0,0,A,15,
Ignorado,1413,1205,208,742,627,115,564,490,74,107,88,19,A,15,
Total,31190,3295,27895,17668,1939,15729,12621,1264,11357,901,92,809,V,16,
 0  a  4,41,17,24,22,12,10,18,5,13,1,0,1,V,16,
 5  a  9,76,39,37,42,25,17,34,14,20,0,0,0,V,16,
10 a 14,240,56,184,105,29,76,127,24,103,8,3,5,V,16,
15 a 19,2717,131,2586,1390,72,1318,1266,56,1210,61,3,58,V,16,
20 a 24,5716,343,5373,3203,195,3008,2360,138,2222,153,10,143,V,16,
25 a 29,5887,452,5435,3411,279,3132,2293,158,2135,183,15,168,V,16,
30 a 34,5048,471,4577,2960,302,2658,1946,159,1787,142,10,132,V,16,
35 a 39,3821,395,3426,2209,240,1969,1498,147,1351,114,8,106,V,16,
40 a 44,2503,279,2224,1454,173,1281,984,96,888,65,10,55,V,16,
45 a 49,1543,223,1320,869,137,732,633,84,549,41,2,39,V,16,
50 a 54,1039,207,832,587,111,476,422,87,335,30,9,21,V,16,
55 a 59,715,175,540,393,95,298,300,76,224,22,4,18,V,16,
60 a 64,497,139,358,278,81,197,205,54,151,14,4,10,V,16,
65 a 69,344,111,233,192,59,133,144,47,97,8,5,3,V,16,
70 a 74,241,90,151,117,40,77,118,47,71,6,3,3,V,16,
75 a 79,131,55,76,69,28,41,62,27,35,0,0,0,V,16,
80 y más,169,72,97,94,39,55,68,32,36,7,1,6,V,16,
Ignorado,462,40,422,273,22,251,143,13,130,46,5,41,V,16,
Total,31190,27163,4027,17668,15225,2443,12621,11143,1478,901,795,106,A,16,
05 a 09,1,1,0,0,0,0,0,0,0,1,1,0,A,16,
10 a 14,28,18,10,15,12,3,13,6,7,0,0,0,A,16,
15 a 19,1093,870,223,588,459,129,480,389,91,25,22,3,A,16,
20 a 24,4543,3977,566,2528,2190,338,1902,1690,212,113,97,16,A,16,
25 a 29,5729,5077,652,3271,2853,418,2300,2085,215,158,139,19,A,16,
30 a 34,5453,4821,632,3202,2802,400,2119,1899,220,132,120,12,A,16,
35 a 39,4630,4063,567,2678,2333,345,1825,1615,210,127,115,12,A,16,
40 a 44,2927,2558,369,1713,1475,238,1130,1004,126,84,79,5,A,16,
45 a 49,1962,1685,277,1111,947,164,797,691,106,54,47,7,A,16,
50 a 54,1300,1085,215,699,579,120,562,472,90,39,34,5,A,16,
55 a 59,738,605,133,400,321,79,319,270,49,19,14,5,A,16,
60 a 64,446,370,76,227,185,42,211,180,31,8,5,3,A,16,
65 a 69,251,210,41,131,106,25,114,98,16,6,6,0,A,16,
70 a 74,104,87,17,63,50,13,41,37,4,0,0,0,A,16,
75 a 79,49,41,8,31,27,4,17,13,4,1,1,0,A,16,
80 y más,38,29,9,20,17,3,18,12,6,0,0,0,A,16,
Ignorado,1898,1666,232,991,869,122,773,682,91,134,115,19,A,16,
Total,30384,3675,26709,17348,2090,15258,12279,1492,10787,757,93,664,V,17,
 0  a  4,49,21,28,25,10,15,24,11,13,0,0,0,V,17,
 5  a  9,83,39,44,44,22,22,38,16,22,1,1,0,V,17,
10 a 14,245,59,186,111,29,82,132,30,102,2,0,2,V,17,
15 a 19,2369,129,2240,1154,66,1088,1148,59,1089,67,4,63,V,17,
20 a 24,5677,421,5256,3192,225,2967,2366,188,2178,119,8,111,V,17,
25 a 29,5714,549,5165,3350,333,3017,2237,206,2031,127,10,117,V,17,
30 a 34,4687,448,4239,2855,278,2577,1733,163,1570,99,7,92,V,17,
35 a 39,3873,474,3399,2291,283,2008,1464,170,1294,118,21,97,V,17,
40 a 44,2490,309,2181,1472,196,1276,959,106,853,59,7,52,V,17,
45 a 49,1676,248,1428,952,146,806,685,99,586,39,3,36,V,17,
50 a 54,1008,204,804,556,104,452,421,94,327,31,6,25,V,17,
55 a 59,681,204,477,371,110,261,284,87,197,26,7,19,V,17,
60 a 64,500,164,336,277,87,190,209,71,138,14,6,8,V,17,
65 a 69,354,128,226,182,61,121,163,63,100,9,4,5,V,17,
70 a 74,248,100,148,127,50,77,112,47,65,9,3,6,V,17,
75 a 79,168,78,90,87,38,49,76,38,38,5,2,3,V,17,
80 y más,173,73,100,93,37,56,75,33,42,5,3,2,V,17,
Ignorado,389,27,362,209,15,194,153,11,142,27,1,26,V,17,
Total,30384,25902,4482,17348,14766,2582,12279,10500,1779,757,636,121,A,17,
05 a 09,2,2,0,1,1,0,1,1,0,0,0,0,A,17,
10 a 14,21,13,8,10,6,4,10,6,4,1,1,0,A,17,
15 a 19,1074,794,280,549,396,153,503,378,125,22,20,2,A,17,
20 a 24,4534,3830,704,2519,2104,415,1919,1645,274,96,81,15,A,17,
25 a 29,5624,4877,747,3233,2802,431,2262,1962,300,129,113,16,A,17,
30 a 34,5060,4456,604,2960,2597,363,1994,1760,234,106,99,7,A,17,
35 a 39,4568,3977,591,2685,2344,341,1764,1533,231,119,100,19,A,17,
40 a 44,2989,2555,434,1761,1508,253,1152,984,168,76,63,13,A,17,
45 a 49,1963,1657,306,1099,924,175,813,693,120,51,40,11,A,17,
50 a 54,1288,1067,221,712,584,128,551,464,87,25,19,6,A,17,
55 a 59,734,616,118,417,350,67,296,251,45,21,15,6,A,17,
60 a 64,425,342,83,242,196,46,175,141,34,8,5,3,A,17,
65 a 69,243,192,51,133,104,29,106,85,21,4,3,1,A,17,
70 a 74,128,101,27,64,49,15,61,49,12,3,3,0,A,17,
75 a 79,64,53,11,30,24,6,32,27,5,2,2,0,A,17,
80 y más,32,22,10,17,12,5,12,9,3,3,1,2,A,17,
Ignorado,1635,1348,287,916,765,151,628,512,116,91,71,20,A,17,
Total,29992,3738,26254,17014,2148,14866,12278,1507,10771,700,83,617,V,18,
 0  a  4,35,17,18,12,5,7,22,12,10,1,0,1,V,18,
 5  a  9,79,27,52,39,15,24,39,12,27,1,0,1,V,18,
10 a 14,183,38,145,71,15,56,105,22,83,7,1,6,V,18,
