Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
25 a 29,5920,1015,2416,924,1266,156,143,M,V,14
30 a 34,5209,1084,2125,684,1018,175,123,M,V,14
35 a 39,3784,938,1561,458,610,127,90,M,V,14
40 a 44,2477,756,1047,243,312,75,44,M,V,14
45 a 49,1489,542,619,103,150,46,29,M,V,14
50 a 54,931,423,329,41,88,25,25,M,V,14
55 a 59,566,257,216,25,45,10,13,M,V,14
60 a 64,388,217,131,15,18,4,3,M,V,14
65 a 69,246,151,65,15,9,0,6,M,V,14
70 a 74,130,85,29,3,6,1,6,M,V,14
75 a 79,94,71,17,2,4,0,0,M,V,14
80 y más,90,57,26,0,3,0,4,M,V,14
Ignorado,346,58,139,36,76,14,23,M,V,14
10 a 14,17,3,9,5,0,0,0,H,A,14
15 a 19,1033,131,509,261,96,2,34,H,A,14
20 a 24,4576,479,2004,1025,865,55,148,H,A,14
25 a 29,5450,640,2244,1082,1195,102,187,H,A,14
30 a 34,5465,716,2406,936,1079,154,174,H,A,14
35 a 39,4389,611,2093,681,756,131,117,H,A,14
40 a 44,2838,495,1372,394,418,82,77,H,A,14
45 a 49,1962,374,989,234,243,65,57,H,A,14
50 a 54,1294,340,602,124,146,45,37,H,A,14
55 a 59,699,201,349,43,60,19,27,H,A,14
60 a 64,354,121,154,19,37,11,12,H,A,14
65 a 69,215,74,96,10,19,5,11,H,A,14
70 a 74,105,37,49,3,4,4,8,H,A,14
75 a 79,39,18,12,1,7,0,1,H,A,14
80 y más,30,15,10,3,0,0,2,H,A,14
Ignorado,1836,414,500,161,158,23,580,H,A,14
10 a 14,16,0,11,4,0,0,1,M,A,14
15 a 19,240,25,120,60,28,1,6,M,A,14
20 a 24,591,83,235,134,112,9,18,M,A,14
25 a 29,634,93,237,108,164,15,17,M,A,14
30 a 34,627,128,249,106,110,19,15,M,A,14
35 a 39,550,127,220,81,98,13,11,M,A,14
40 a 44,353,102,133,36,59,10,13,M,A,14
45 a 49,281,96,124,22,24,6,9,M,A,14
50 a 54,225,96,85,12,25,4,3,M,A,14
55 a 59,133,55,54,6,14,3,1,M,A,14
60 a 64,59,29,18,4,3,1,4,M,A,14
65 a 69,54,32,16,3,2,0,1,M,A,14
70 a 74,14,8,5,1,0,0,0,M,A,14
75 a 79,4,3,0,1,0,0,0,M,A,14
80 y más,9,6,1,0,0,0,2,M,A,14
Ignorado,238,66,66,22,16,4,64,M,A,14
07 a 09,25,2,22,0,0,0,1,H,V,15
10 a 14,37,3,24,9,0,0,1,H,V,15
15 a 19,136,9,49,54,18,2,4,H,V,15
20 a 24,379,15,157,71,106,15,15,H,V,15
25 a 29,457,29,161,83,146,24,14,H,V,15
