Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
65 a 69,190,126,62,2,H,A,15
70 a 74,87,51,36,0,H,A,15
10 a 14,8,5,1,2,M,A,15
15 a 19,254,238,14,2,M,A,15
20 a 24,601,529,71,1,M,A,15
25 a 29,659,575,80,4,M,A,15
30 a 34,614,523,89,2,M,A,15
35 a 39,515,416,96,3,M,A,15
40 a 44,376,275,99,2,M,A,15
45 a 49,282,189,92,1,M,A,15
50 a 54,197,124,72,1,M,A,15
55 a 59,125,70,54,1,M,A,15
60 a 64,67,39,27,1,M,A,15
65 a 69,42,23,19,0,M,A,15
70 a 74,18,9,9,0,M,A,15
Total,3265,2878,365,22,H,V,16
07 a 09,26,23,2,1,H,V,16
10 a 14,56,55,1,0,H,V,16
15 a 19,131,125,3,3,H,V,16
20 a 24,343,326,16,1,H,V,16
25 a 29,452,427,23,2,H,V,16
30 a 34,471,441,29,1,H,V,16
35 a 39,395,362,30,3,H,V,16
40 a 44,279,260,19,0,H,V,16
45 a 49,223,197,25,1,H,V,16
50 a 54,207,175,31,1,H,V,16
55 a 59,175,139,36,0,H,V,16
60 a 64,139,107,32,0,H,V,16
65 a 69,111,74,35,2,H,V,16
70 a 74,90,57,33,0,H,V,16
75 a 79,55,31,22,2,H,V,16
80 y más,72,44,25,3,H,V,16
Ignorado,40,35,3,2,H,V,16
Total,27855,22732,4972,151,M,V,16
07 a 09,21,16,5,0,M,V,16
10 a 14,184,171,9,4,M,V,16
15 a 19,2586,2285,287,14,M,V,16
20 a 24,5373,4814,536,23,M,V,16
25 a 29,5435,4726,691,18,M,V,16
30 a 34,4577,3829,727,21,M,V,16
35 a 39,3426,2715,699,12,M,V,16
40 a 44,2224,1638,573,13,M,V,16
45 a 49,1320,911,400,9,M,V,16
50 a 54,832,520,301,11,M,V,16
55 a 59,540,309,228,3,M,V,16
60 a 64,358,213,145,0,M,V,16
65 a 69,233,116,111,6,M,V,16
70 a 74,151,61,89,1,M,V,16
75 a 79,76,29,47,0,M,V,16
80 y más,97,41,56,0,M,V,16
Ignorado,422,338,68,16,M,V,16
05 a 09,1,0,1,0,H,A,16
10 a 14,18,17,0,1,H,A,16
15 a 19,870,787,73,10,H,A,16
20 a 24,3977,3627,303,47,H,A,16
25 a 29,5077,4622,405,50,H,A,16
30 a 34,4821,4332,436,53,H,A,16
35 a 39,4063,3538,478,47,H,A,16
40 a 44,2558,2191,328,39,H,A,16
45 a 49,1685,1403,258,24,H,A,16
50 a 54,1085,869,199,17,H,A,16
55 a 59,605,473,125,7,H,A,16
60 a 64,370,265,100,5,H,A,16
65 a 69,210,150,57,3,H,A,16
05 a 09,0,0,0,0,M,A,16
10 a 14,10,8,1,1,M,A,16
15 a 19,223,197,23,3,M,A,16
20 a 24,566,512,51,3,M,A,16
25 a 29,652,579,72,1,M,A,16
30 a 34,632,542,84,6,M,A,16
35 a 39,567,479,87,1,M,A,16
40 a 44,369,287,81,1,M,A,16
45 a 49,277,204,70,3,M,A,16
50 a 54,215,135,79,1,M,A,16
55 a 59,133,86,47,0,M,A,16
60 a 64,76,45,31,0,M,A,16
65 a 69,41,22,18,1,M,A,16
Total,3639,3145,473,21,H,V,17
07 a 09,24,22,2,0,H,V,17
10 a 14,59,56,3,0,H,V,17
15 a 19,129,122,7,0,H,V,17
20 a 24,421,388,33,0,H,V,17
25 a 29,549,516,31,2,H,V,17
30 a 34,448,411,37,0,H,V,17
35 a 39,474,433,39,2,H,V,17
40 a 44,309,286,21,2,H,V,17
45 a 49,248,224,22,2,H,V,17
50 a 54,204,158,43,3,H,V,17
