Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
San Marcos,Indígena,258,1,51,75,50,35,26,12,1,0,7,09,
San Marcos,No indígena,317,4,69,96,60,40,23,7,2,2,14,09,
San Marcos,Ignorado,86,1,16,18,18,9,11,1,0,1,11,09,
Huehuetenango,Todos los grupos étnicos,32782,173,5777,8964,7147,4836,2842,1060,174,49,1760,09,
Huehuetenango,Indígena,18564,103,3339,5059,4013,2870,1778,678,112,33,579,09,
Huehuetenango,No indígena,6406,41,1238,1895,1389,908,467,159,28,11,270,09,
Huehuetenango,Ignorado,7812,29,1200,2010,1745,1058,597,223,34,5,911,09,
Huehuetenango,Todos los grupos étnicos,8637,40,1633,2563,1948,1217,626,225,32,5,348,09,
Huehuetenango,Indígena,2321,7,485,659,429,338,208,88,14,2,91,09,
Huehuetenango,No indígena,2592,15,531,796,564,341,159,47,6,1,132,09,
Huehuetenango,Ignorado,3724,18,617,1108,955,538,259,90,12,2,125,09,
Huehuetenango,Todos los grupos étnicos,23840,132,4090,6314,5136,3582,2197,821,141,40,1387,09,
Huehuetenango,Indígena,16076,96,2826,4351,3550,2509,1554,581,98,29,482,09,
Huehuetenango,No indígena,3736,25,696,1072,801,561,307,109,21,8,136,09,
Huehuetenango,Ignorado,4028,11,568,891,785,512,336,131,22,3,769,09,
Huehuetenango,Todos los grupos étnicos,305,1,54,87,63,37,19,14,1,4,25,09,
Huehuetenango,Indígena,167,0,28,49,34,23,16,9,0,2,6,09,
Huehuetenango,No indígena,78,1,11,27,24,6,1,3,1,2,2,09,
Huehuetenango,Ignorado,60,0,15,11,5,8,2,2,0,0,17,09,
Quiché,Todos los grupos étnicos,26849,179,4350,6928,5649,4533,3106,1085,153,27,839,09,
Quiché,Indígena,23478,151,3776,6100,5000,4080,2818,981,139,24,409,09,
Quiché,No indígena,1567,18,332,477,337,217,101,40,5,3,37,09,
Quiché,Ignorado,1804,10,242,351,312,236,187,64,9,0,393,09,
Quiché,Todos los grupos étnicos,6340,57,1177,1714,1317,953,640,229,28,4,221,09,
Quiché,Indígena,4890,41,904,1308,1011,754,537,204,21,3,107,09,
Quiché,No indígena,1009,11,211,308,237,140,59,17,4,1,21,09,
Quiché,Ignorado,441,5,62,98,69,59,44,8,3,0,93,09,
Quiché,Todos los grupos étnicos,20078,118,3110,5100,4249,3513,2413,842,122,23,588,09,
Quiché,Indígena,18269,107,2823,4705,3930,3275,2238,767,115,21,288,09,
Quiché,No indígena,506,6,113,153,88,68,37,22,1,2,16,09,
Quiché,Ignorado,1303,5,174,242,231,170,138,53,6,0,284,09,
Quiché,Todos los grupos étnicos,431,4,63,114,83,67,53,14,3,0,30,09,
Quiché,Indígena,319,3,49,87,59,51,43,10,3,0,14,09,
Quiché,No indígena,52,1,8,16,12,9,5,1,0,0,0,09,
Quiché,Ignorado,60,0,6,11,12,7,5,3,0,0,16,09,
Baja Verapaz,Todos los grupos étnicos,7218,62,1379,2140,1586,1018,610,182,23,6,212,09,
Baja Verapaz,Indígena,3904,36,767,1096,816,574,367,110,16,4,118,09,
Baja Verapaz,No indígena,2036,18,362,653,485,284,151,43,4,0,36,09,
Baja Verapaz,Ignorado,1278,8,250,391,285,160,92,29,3,2,58,09,
Baja Verapaz,Todos los grupos étnicos,3386,34,650,1042,800,452,241,66,7,1,93,09,
Baja Verapaz,Indígena,1330,15,266,386,298,184,108,31,3,1,38,09,
Baja Verapaz,No indígena,1401,15,253,455,339,195,99,20,4,0,21,09,
Baja Verapaz,Ignorado,655,4,131,201,163,73,34,15,0,0,34,09,
Baja Verapaz,Todos los grupos étnicos,3625,27,687,1039,752,534,354,108,14,5,105,09,
Baja Verapaz,Indígena,2386,20,462,661,486,361,244,72,11,3,66,09,
Baja Verapaz,No indígena,624,3,107,192,145,88,52,22,0,0,15,09,
Baja Verapaz,Ignorado,615,4,118,186,121,85,58,14,3,2,24,09,
Baja Verapaz,Todos los grupos étnicos,207,1,42,59,34,32,15,8,2,0,14,09,
Baja Verapaz,Indígena,188,1,39,49,32,29,15,7,2,0,14,09,
Baja Verapaz,No indígena,11,0,2,6,1,1,0,1,0,0,0,09,
Baja Verapaz,Ignorado,8,0,1,4,1,2,0,0,0,0,0,09,
Alta Verapaz,Todos los grupos étnicos,32925,271,6169,9310,7209,4997,2831,1011,97,36,994,09,
